"t","z"
1.028483916E0,4.258363397E0
1.095255624E0,4.232181776E0
1.162026791E0,4.215817720E0
1.228808583E0,4.197304993E0
1.295574041E0,4.177543516E0
1.362342583E0,4.148741058E0
1.429114499E0,4.116653700E0
1.495886458E0,4.085636422E0
1.562658833E0,4.057744455E0
1.629430666E0,4.014993862E0
1.696203083E0,3.976005492E0
1.762989916E0,3.941429759E0
1.829746249E0,3.891045208E0
1.896517874E0,3.826623739E0
1.963289249E0,3.771082613E0
2.030060333E0,3.717979254E0
2.096832499E0,3.653045634E0
2.163604749E0,3.593113424E0
2.230376249E0,3.530370199E0
2.297148583E0,3.466742595E0
2.363921083E0,3.406031001E0
2.430693208E0,3.330693935E0
2.497464166E0,3.254700903E0
2.564235041E0,3.168989553E0
2.631008749E0,3.077686727E0
2.697779666E0,2.986943534E0
2.764551749E0,2.904574294E0
2.831321749E0,2.826737429E0
2.898096333E0,2.741066355E0
2.964867999E0,2.628165538E0
3.031637291E0,2.529832315E0
3.098409291E0,2.430385630E0
3.165183249E0,2.312135360E0
3.231954124E0,2.214127588E0
3.298740291E0,2.106027482E0
3.365496541E0,2.000748304E0
3.432269083E0,1.884862546E0
3.499040583E0,1.766528066E0
3.565812708E0,1.642154752E0
3.632584291E0,1.509766868E0
3.699355708E0,1.370434427E0
3.766127374E0,1.238251114E0
3.832898458E0,1.102681659E0
3.899671458E0,9.783021474E-1
3.966442958E0,8.536885741E-1
