"t","z"
1.050277291E0,3.951267319E0
1.117047208E0,3.892047481E0
1.183819958E0,3.812212837E0
1.250591583E0,3.750390640E0
1.317363416E0,3.673691340E0
1.384135624E0,3.609530416E0
1.450906458E0,3.547521387E0
1.517677458E0,3.491256417E0
1.584451249E0,3.428422982E0
1.651219916E0,3.361927715E0
1.717993208E0,3.298253965E0
1.784763791E0,3.213459271E0
1.851535416E0,3.122173567E0
1.918308583E0,3.029235014E0
1.985078958E0,2.951793277E0
2.051850791E0,2.889029943E0
2.118622124E0,2.815881045E0
2.185400499E0,2.746108995E0
2.252165708E0,2.667376876E0
2.318937624E0,2.582050171E0
2.385707749E0,2.500583934E0
2.452479999E0,2.422616838E0
2.519251999E0,2.331189113E0
2.586023833E0,2.252309877E0
2.652795208E0,2.173345315E0
2.719567666E0,2.092710338E0
2.786338083E0,2.021014333E0
2.853110833E0,1.950525079E0
2.919881374E0,1.875863414E0
2.986654083E0,1.796965034E0
3.053425374E0,1.708823810E0
3.120196666E0,1.616444793E0
3.186967083E0,1.525813449E0
3.253738083E0,1.442111615E0
3.320511166E0,1.367134406E0
3.387282374E0,1.298581259E0
3.454053624E0,1.228432234E0
3.520840541E0,1.159094237E0
3.587596999E0,1.085669615E0
3.654368749E0,1.011130061E0
3.721141166E0,9.404741215E-1
3.787911708E0,8.648275596E-1
3.854685041E0,7.993304567E-1
3.921455499E0,7.361334058E-1
3.988226749E0,6.801268422E-1
